name,Temperature,top_k,top_p,Oracle Entropy,empirical_unigram_entropy,Bigram Entropy,FBD Score,OT Distance,ref_oracle_entropy,ref_bigram_entropy,Perplexity (PPL),Round
Temp_1.0,1.0,50,0.95,1.5575484203487635,6.81304077496141,10.616136823341245,0.4094119131435101,1.0668729694337493,3.5910966896944863,11.364064207960974,33.84686279296875,5
Temp_1.2,1.2,50,0.95,1.9619417124286294,6.929019508689782,10.945086515460892,0.4113452154385051,1.0750980215999277,3.5910966896944863,11.364064207960974,30.7297420501709,5
Temp_1.4,1.4,50,0.95,2.3277759070411324,7.072295209063541,11.33654494852589,0.41586233053084376,1.0825379633743069,3.5910966896944863,11.364064207960974,28.95175552368164,5
Temp_1.6,1.6,50,0.95,2.625083408136666,7.228885534649384,11.724756469352265,0.41989917881508343,1.0889840606334276,3.5910966896944863,11.364064207960974,28.60793685913086,5
Temp_1.8,1.8,50,0.95,3.0116893893122674,7.423411778707388,12.186660930360858,0.43034652085238223,1.0978214186627095,3.5910966896944863,11.364064207960974,28.0638484954834,5
Temp_2.0,2.0,50,0.95,3.3553703354150057,7.584724684685149,12.569817094776889,0.4417644820543072,1.1044718492239716,3.5910966896944863,11.364064207960974,27.522192001342773,5
Temp_0.2,0.2,50,0.95,0.8813864089548588,6.633425218708426,10.036573004806774,0.41182431469671643,1.04801724613506,3.5910966896944863,11.364064207960974,88.16263580322266,6
Temp_0.4,0.4,50,0.95,0.9194192502439023,6.659202717458303,10.105349563760706,0.4113417101288903,1.04885072837075,3.5910966896944863,11.364064207960974,74.3571548461914,6
Temp_0.6,0.6,50,0.95,1.0055799472644924,6.689038699658771,10.202958334640613,0.40940270194121053,1.0506006170523408,3.5910966896944863,11.364064207960974,57.872276306152344,6
Temp_0.8,0.8,50,0.95,1.164202006663382,6.740949972314841,10.351921322910668,0.40874821055578625,1.0559420849625043,3.5910966896944863,11.364064207960974,44.093666076660156,6
Temp_1.0,1.0,50,0.95,1.4370372343093156,6.810981260393174,10.571711491055783,0.4082470559481648,1.0612147291729013,3.5910966896944863,11.364064207960974,36.131492614746094,6
Temp_1.2,1.2,50,0.95,1.7150744430184364,6.898928605935035,10.833323105748917,0.41291234994236725,1.0697340589858628,3.5910966896944863,11.364064207960974,31.918174743652344,6
Temp_1.4,1.4,50,0.95,2.069458793114126,7.02195069387558,11.176945515613909,0.4135442675472605,1.0770418913759823,3.5910966896944863,11.364064207960974,29.293302536010742,6
Temp_1.6,1.6,50,0.95,2.372607150910795,7.165985976857521,11.539645343742452,0.417061481687623,1.0834605494909164,3.5910966896944863,11.364064207960974,28.520160675048828,6
Temp_1.8,1.8,50,0.95,2.7427337263420224,7.359150514268705,11.98928110972964,0.4226388044584968,1.0941110324194472,3.5910966896944863,11.364064207960974,27.728431701660156,6
Temp_2.0,2.0,50,0.95,3.1597345814839004,7.5526120217873025,12.433704094427474,0.4355924581938151,1.1033230616311358,3.5910966896944863,11.364064207960974,27.37213897705078,6
Temp_0.2,0.2,50,0.95,0.8718294058680535,6.694992779621115,10.121744259909573,0.4133652852460532,1.0477345885978737,3.5910967597583356,11.364064207960974,91.3379135131836,7
Temp_0.4,0.4,50,0.95,0.9067765657156706,6.705465143281195,10.163095677897951,0.41226381890701713,1.0479414065227066,3.5910967597583356,11.364064207960974,78.03486633300781,7
Temp_0.6,0.6,50,0.95,0.9738124782890082,6.733612533582281,10.244370656453755,0.41105925530762,1.050351160548141,3.5910967597583356,11.364064207960974,63.29423141479492,7
Temp_0.8,0.8,50,0.95,1.0956530260935426,6.7698434685577284,10.36329368857841,0.40967036002295254,1.0530414496557288,3.5910967597583356,11.364064207960974,47.80474853515625,7
Temp_1.0,1.0,50,0.95,1.3198429399251939,6.826466820868777,10.544013270407898,0.4090164552650084,1.0599483275467967,3.5910967597583356,11.364064207960974,37.185401916503906,7
